COMARCA;Forestal;Ramadera;Agricola;urbana_poda;urbana_FORM;industrial_agroalimentaria;industrial_EDAR;Aquatica
Segrià;685.00;2988589.40;12499.00;1010.23;11283.44;2953.67;10552.00;
Noguera;8276.00;2545343.68;2028.33;533.74;2764.78;2515.33;4309.00;
Osona;32508.33;1750262.11;9325.33;505.85;15670.44;19504.67;20672.67;
Alt Empordà;22571.33;1061024.89;3206.67;11005.36;3331.60;2750.00;11040.67;
Pla d'Urgell;12.33;961964.96;5275.67;135.86;2332.61;21793.33;4932.33;
Urgell;474.33;945067.95;5613.33;188.19;2654.37;1131.67;3819.33;
Segarra;2457.67;800887.13;2383.67;44.49;1987.40;62788.00;13.67;
Garrigues;472.67;838759.61;26820.67;201.20;1322.16;2262.33;683.00;
Bages;4382.67;739028.89;5266.33;1566.11;6803.45;8827.00;16970.33;
Berguedà;8997.67;670287.39;1523.33;78.62;4908.28;963.33;4139.00;
Lluçanès;0.00;645703.85;0.00;9.57;487.22;0.00;0.00;
Solsonès;4171.67;575237.41;2447.00;95.81;1301.00;140.67;1250.00;
Anoia;4570.00;318230.93;5495.33;25688.10;163023.08;2996.67;10009.33;
Gironès;16678.67;414319.41;16369.67;1701.91;17915.79;4075.00;14128.33;
Vallès Oriental;18452.33;369651.49;5022.33;4860.29;26575.08;8953.67;37343.33;
Garrotxa;28208.00;363819.08;2079.33;656.70;4181.83;23348.67;7291.67;
Pla de l'Estany;7243.67;386619.99;2130.00;1507.86;2494.13;2705.67;4432.00;
Baix Empordà;4033.67;373848.92;1342.00;2043.69;4622.65;237.00;15415.00;
Pallars Jussà;1902.67;387138.97;589.00;280.75;418.54;162.67;2232.67;
Selva;33557.67;286384.50;8289.00;4363.17;16560.29;14974.33;16901.00;
Montsià;55.00;354720.04;8188.33;1424.25;4323.67;1369.67;6517.67;
Baix Ebre;357.00;305210.33;1758.33;5958.59;12279.13;3182.33;6532.00;
Alt Urgell;5978.67;305970.10;25.33;134.81;1565.92;186.00;283.33;
Baix Camp;2043.00;172079.26;20531.33;2467.38;10623.39;3426.00;27471.67;
Vallès Occidental;3209.00;77274.01;17376.67;8731.58;27282.07;9568.67;42673.33;
Moianès;6838.00;153235.49;5352.33;405.46;1469.62;1144.33;1473.00;
Ripollès;14519.33;146557.35;1314.00;62.17;1656.64;1776.00;3119.67;
Maresme;12057.00;56627.25;4290.67;11029.96;30389.85;13254.00;40482.67;
Alt Camp;1195.67;139033.53;19042.67;519.04;2767.39;44.67;2538.67;
Terra Alta;1218.67;154017.57;7137.00;0.00;945.79;19.67;1323.67;
Conca de Barberà;3458.67;144847.76;6684.33;383.41;2155.10;1818.33;1059.00;
Baix Llobregat;1114.00;18577.75;17471.00;8308.21;13559.44;2037.67;98893.67;
Alt Penedès;2565.33;59965.07;37608.67;1338.83;5622.54;564.33;8681.33;
Cerdanya;246.67;106738.96;26.00;0.00;444.05;6.33;2767.00;
Ribera d'Ebre;537.67;95234.89;8721.00;54.22;1451.97;31.00;1487.00;
Tarragonès;243.00;40382.51;8687.00;6931.89;16964.68;1394.33;24572.33;
Barcelonès;102.67;110.96;11372.33;5256.10;5870.22;4038.00;62650.33;
Baix Penedès;203.00;61043.32;11828.67;1691.12;5820.46;97.00;6419.33;
Pallars Sobirà;941.67;75331.16;9.33;313.50;658.01;40.33;1323.33;
Priorat;1015.00;19867.39;8913.33;35.34;811.66;2.00;2472.67;
Alta Ribagorça;356.33;29697.79;0.00;0.00;174.91;33.33;194.33;
Garraf;330.33;4057.26;4326.67;1714.06;6636.73;27.33;9509.67;
Val d'Aran;813.67;8886.63;0.00;37.83;243.54;17.00;1025.33;
